Year,Area,Species Name,Number Of Fish (estimated),Landed Weight (lbs),Whole Weight (lbs),Permit Count,Processor Count,Vessel Count
1985,Alaska Peninsula/Aleutian Islands,Chinook Salmon,30210,588718,588718,369,28,286
1985,Alaska Peninsula/Aleutian Islands,Chum Salmon,2029532,14119298,14119298,376,30,290
1985,Alaska Peninsula/Aleutian Islands,Coho Salmon,348632,2721395,2721395,380,24,272
1985,Alaska Peninsula/Aleutian Islands,Pink Salmon,4434160,18028534,18028534,297,22,233
1985,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,4743247,25833839,25833839,403,32,307
1985,Arctic/Kotzebue,Chinook Salmon,63,1106,1106,39,4,1
1985,Arctic/Kotzebue,Chum Salmon,521373,4528131,4528131,189,5,1
1985,Bristol Bay,Chinook Salmon,120412,2191157,2191157,2152,90,1589
1985,Bristol Bay,Chum Salmon,1068143,6835198,6835198,2650,107,2241
1985,Bristol Bay,Coho Salmon,162822,1324352,1324352,819,34,515
1985,Bristol Bay,Pink Salmon,457,1798,1798,159,13,87
1985,Bristol Bay,Sockeye Salmon,23695567,136231080,136231080,2716,111,2263
1985,Chignik,Chinook Salmon,1887,44874,44874,95,7,102
1985,Chignik,Chum Salmon,22805,145276,145276,102,7,107
1985,Chignik,Coho Salmon,191162,1709637,1709637,98,7,103
1985,Chignik,Pink Salmon,160128,643731,643731,101,7,108
1985,Chignik,Sockeye Salmon,921502,5446297,5446297,104,11,118
1985,Cook Inlet,Chinook Salmon,25097,694828,694828,1036,36,575
1985,Cook Inlet,Chum Salmon,803487,6129973,6129973,1098,40,793
1985,Cook Inlet,Coho Salmon,677540,4903108,4903108,1241,41,820
1985,Cook Inlet,Pink Salmon,1317545,4590112,4590112,1238,33,814
1985,Cook Inlet,Sockeye Salmon,4338826,24232766,24232766,1266,43,885
1985,Kodiak,Chinook Salmon,4970,96106,96106,328,17,230
1985,Kodiak,Chum Salmon,430757,3399190,3399190,460,18,295
1985,Kodiak,Coho Salmon,284164,2519533,2519533,438,17,271
1985,Kodiak,Pink Salmon,7333904,26761165,26761165,462,19,302
1985,Kodiak,Sockeye Salmon,1842729,8734715,8734715,455,20,296
1985,Kuskokwim,Chinook Salmon,74041,1256419,1256419,754,10,2
1985,Kuskokwim,Chum Salmon,224765,1587688,1587688,770,9,2
1985,Kuskokwim,Coho Salmon,382041,2859269,2859269,747,8,1
1985,Kuskokwim,Pink Salmon,111,405,405,88,3,1
1985,Kuskokwim,Sockeye Salmon,121233,848826,848826,749,10,2
1985,Norton Sound/Port Clarence,Chinook Salmon,19491,419331,419331,148,7,1
1985,Norton Sound/Port Clarence,Chum Salmon,134878,939534,939534,155,7,1
1985,Norton Sound/Port Clarence,Coho Salmon,21927,169195,169195,124,7,1
1985,Norton Sound/Port Clarence,Pink Salmon,3647,11458,11458,57,5,1
1985,Norton Sound/Port Clarence,Sockeye Salmon,166,1155,1155,26,5,1
1985,Prince William Sound,Chinook Salmon,43529,1198057,1198057,629,31,692
1985,Prince William Sound,Chum Salmon,1297472,10826793,10826793,750,40,817
1985,Prince William Sound,Coho Salmon,1024553,10415128,10415128,703,32,761
1985,Prince William Sound,Pink Salmon,25129419,88273975,88273975,731,37,799
1985,Prince William Sound,Sockeye Salmon,1450171,8752895,8752895,821,42,932
1985,Southeast/Yakutat,Chinook Salmon,256243,4063356,4063356,2488,94,2348
1985,Southeast/Yakutat,Chum Salmon,3272044,29521824,29521824,2368,87,2231
1985,Southeast/Yakutat,Coho Salmon,2597510,20378617,20378617,2670,101,2519
1985,Southeast/Yakutat,Pink Salmon,51956552,165492481,165492481,2438,82,2311
1985,Southeast/Yakutat,Sockeye Salmon,1863587,11521800,11521800,2055,88,1895
1985,Yukon,Chinook Salmon,146114,2958218,2958218,713,24,85
1985,Yukon,Chum Salmon,784390,5475967,5475967,768,27,107
1985,Yukon,Coho Salmon,57656,414126,414126,561,19,21
1986,Alaska Peninsula/Aleutian Islands,Chinook Salmon,17340,300187,300187,365,24,338
1986,Alaska Peninsula/Aleutian Islands,Chum Salmon,2059686,14681939,14681939,394,28,379
1986,Alaska Peninsula/Aleutian Islands,Coho Salmon,400055,2838267,2838267,358,19,334
1986,Alaska Peninsula/Aleutian Islands,Pink Salmon,4096738,13860007,13860007,344,20,330
1986,Alaska Peninsula/Aleutian Islands,Sockeye Salmon,3694526,22111517,22111517,419,29,404
1986,Arctic/Kotzebue,Chinook Salmon,101,1657,1657,49,4,1
1986,Arctic/Kotzebue,Chum Salmon,261436,2271320,2271320,187,5,1
1986,Bristol Bay,Chinook Salmon,93716,1745722,1745722,1848,61,1388
1986,Bristol Bay,Chum Salmon,1227135,7978359,7978359,2664,72,2213
1986,Bristol Bay,Coho Salmon,182075,1223792,1223792,956,38,644
1986,Bristol Bay,Pink Salmon,401287,1411645,1411645,1204,38,857
1986,Bristol Bay,Sockeye Salmon,15776065,95817057,95817057,2693,75,2230
1986,Chignik,Chinook Salmon,3037,66772,66772,97,12,97
1986,Chignik,Chum Salmon,176640,1304418,1304418,100,17,106
1986,Chignik,Coho Salmon,116633,867195,867195,100,16,104
1986,Chignik,Pink Salmon,647125,2374311,2374311,100,17,106
1986,Chignik,Sockeye Salmon,1645834,11254860,11254860,102,18,113
1986,Cook Inlet,Chinook Salmon,40061,1033986,1033986,1031,33,525
1986,Cook Inlet,Chum Salmon,1228810,9170601,9170601,1165,28,763
1986,Cook Inlet,Coho Salmon,776755,5017743,5017743,1263,34,792
1986,Cook Inlet,Pink Salmon,2709626,9647332,9647332,1258,29,782
1986,Cook Inlet,Sockeye Salmon,5029612,28686368,28686368,1290,37,808
1986,Kodiak,Chinook Salmon,4381,66901,66901,328,21,282
1986,Kodiak,Chum Salmon,1134397,8450520,8450520,476,27,391
1986,Kodiak,Coho Salmon,168690,1464701,1464701,471,27,387
1986,Kodiak,Pink Salmon,11809223,43179670,43179670,476,28,399
1986,Kodiak,Sockeye Salmon,3188049,18533328,18533328,473,27,396
1986,Kuskokwim,Chinook Salmon,44972,762445,762445,758,6,3
1986,Kuskokwim,Chum Salmon,349269,2364747,2364739,761,6,10
1986,Kuskokwim,Coho Salmon,736910,4716482,4716482,768,7,15
1986,Kuskokwim,Pink Salmon,16561,57504,57504,674,4,12
1986,Kuskokwim,Sockeye Salmon,142029,1016228,1016228,761,6,15
1986,Norton Sound/Port Clarence,Chinook Salmon,6395,133161,133161,146,5,1
1986,Norton Sound/Port Clarence,Chum Salmon,146917,1011824,1011824,162,4,1
1986,Norton Sound/Port Clarence,Coho Salmon,35624,245568,245568,111,4,1
1986,Norton Sound/Port Clarence,Pink Salmon,,,,57,2,1
1986,Norton Sound/Port Clarence,Sockeye Salmon,233,1765,1765,69,4,1
1986,Prince William Sound,Chinook Salmon,42128,1086579,1086579,598,23,643
1986,Prince William Sound,Chum Salmon,1705426,14224661,14224661,743,31,777
1986,Prince William Sound,Coho Salmon,425747,4084343,4084343,675,26,686
1986,Prince William Sound,Pink Salmon,11425794,35029443,35029443,708,31,734
1986,Prince William Sound,Sockeye Salmon,1288213,7880559,7880559,782,31,859
1986,Southeast/Yakutat,Chinook Salmon,265263,4500729,4500729,2403,91,2373
1986,Southeast/Yakutat,Chum Salmon,3358772,29655836,29655836,2319,88,2320
1986,Southeast/Yakutat,Coho Salmon,3403973,25851602,25851013,2543,98,2560
1986,Southeast/Yakutat,Pink Salmon,46166526,153591676,153591676,2183,73,2212
1986,Southeast/Yakutat,Sockeye Salmon,1442727,9256224,9256224,1975,85,1937
