Year,Species Name,Port Area,Pounds,Value
1980,"Sole, unspecified",SAN FRANCISCO,"1,112",$ 178.00 
1980,"Rockfish, cowcod",SAN DIEGO,Confidential,Confidential
1980,"Crab, sand",SAN FRANCISCO,Confidential,Confidential
1980,"Oyster, european flat",BODEGA BAY,Confidential,Confidential
1980,Queenfish,LOS ANGELES,Confidential,Confidential
1980,"Flounder, starry",SANTA BARBARA,Confidential,Confidential
1980,Thornyheads,MORRO BAY,Confidential,Confidential
1980,Silversides,MONTEREY,"2,264",$ 377.00 
1980,"Crab, rock unspecified",FORT BRAGG,Confidential,Confidential
1980,"Rockfish, yellowtail",BODEGA BAY,Confidential,Confidential
1980,Sanddab,BODEGA BAY,"26,070","$ 8,891.00 "
1980,"Bass, giant sea",MORRO BAY,Confidential,Confidential
1980,"Croaker, white",SAN FRANCISCO,"59,912","$ 23,505.00 "
1980,"Surfperch, redtail",EUREKA,Confidential,Confidential
1980,"Flounder, starry",MORRO BAY,Confidential,Confidential
1980,"Rockfish, bocaccio",SAN FRANCISCO,"3,391,733","$ 463,600.00 "
1980,Sablefish,FORT BRAGG,"2,047,562","$ 319,344.00 "
1980,"Rockfish, cowcod",SANTA BARBARA,Confidential,Confidential
1980,"Sheephead, California",SAN DIEGO,"1,367",$ 454.00 
1980,"Crab, rock unspecified",SAN DIEGO,"128,607","$ 81,019.00 "
1980,"Shark, soupfin",MONTEREY,"29,634","$ 6,853.00 "
1980,Sargo,LOS ANGELES,116,$ 57.00 
1980,"Shad, American",MONTEREY,Confidential,Confidential
1980,"Rockfish, bank",MONTEREY,Confidential,Confidential
1980,"Rockfish, splitnose",MORRO BAY,Confidential,Confidential
1980,"Rockfish, cowcod",MORRO BAY,"3,704","$ 1,939.00 "
1980,"Crab, rock unspecified",SAN FRANCISCO,Confidential,Confidential
1980,"Skate, unspecified",MORRO BAY,"10,272","$ 1,987.00 "
1980,"Rockfish, blue",SAN DIEGO,Confidential,Confidential
1980,"Salmon, Chinook",SAN FRANCISCO,"847,493","$ 1,688,866.00 "
1980,"Rockfish, brown",SAN FRANCISCO,"106,844","$ 72,188.00 "
1980,"Shrimp, bay",BODEGA BAY,Confidential,Confidential
1980,"Shark, leopard",MONTEREY,119,$ 40.00 
1980,"Mudsucker, longjaw",LOS ANGELES,Confidential,Confidential
1980,"Scorpionfish, California",MORRO BAY,Confidential,Confidential
1980,"Abalone, pink",MORRO BAY,Confidential,Confidential
1980,"Rockfish, blue",SANTA BARBARA,Confidential,Confidential
1980,"Clam, freshwater",MORRO BAY,Confidential,Confidential
1980,"Rockfish, group red",LOS ANGELES,"2,143","$ 1,349.00 "
1980,Halfmoon,SANTA BARBARA,196,$ 85.00 
1980,"Shark, leopard",SAN DIEGO,798,$ 462.00 
1980,"Fish, unspecified",FORT BRAGG,Confidential,Confidential
1980,"Bonito, Pacific",MONTEREY,230,$ 17.00 
1980,"Shrimp, bay",SAN FRANCISCO,Confidential,Confidential
1980,"Abalone, pink",SAN FRANCISCO,Confidential,Confidential
1980,"Croaker, white",FORT BRAGG,Confidential,Confidential
1980,"Rockfish, black",EUREKA,Confidential,Confidential
1980,"Smelt, night",EUREKA,Confidential,Confidential
1980,"Rockfish, brown",MORRO BAY,"44,373","$ 10,617.00 "
