2705
#Preseason forecast data
#Agency; 1 = FRI, Forecaster; 1 = Hilborn/Chasco and 2 = Don
#Agency; 2 = ADFG, Forecaster; 1 = ADFG
#Agency	Forecaster	ReturnYr	Dist	SystemID	fwAge	oAge	return
2	1	1967	325	1	1	2	1189
2	1	1967	325	1	1	3	1162
2	1	1967	325	1	2	3	85
2	1	1967	325	1	2	2	183
2	1	1967	325	2	0	0	0
2	1	1967	325	2	1	2	75
2	1	1967	325	2	1	3	90
2	1	1967	325	2	2	3	18
2	1	1967	325	2	2	2	2
2	1	1967	325	3	1	3	5
2	1	1967	325	3	1	2	34
2	1	1967	325	3	2	3	127
2	1	1967	325	3	2	2	1
2	1	1967	324	4	1	3	220
2	1	1967	324	4	1	2	142
2	1	1967	324	4	2	3	2139
2	1	1967	324	4	2	2	1746
2	1	1967	324	5	1	2	571
2	1	1967	324	5	1	3	474
2	1	1967	324	5	2	2	1095
2	1	1967	324	5	2	3	532
2	1	1967	322	7	1	3	151
2	1	1967	322	7	1	2	79
2	1	1967	322	7	2	3	540
2	1	1967	322	7	2	2	1545
2	1	1967	321	8	1	3	395
2	1	1967	321	8	1	2	56
2	1	1967	321	8	2	2	404
2	1	1967	321	8	2	3	135
2	1	1967	326	9	1	3	82
2	1	1967	326	9	1	2	90
2	1	1967	326	9	2	3	12
2	1	1967	326	9	2	2	6
2	1	1968	325	1	1	3	460
2	1	1968	325	1	1	2	1955
2	1	1968	325	1	2	3	26
2	1	1968	325	1	2	2	95
2	1	1968	325	2	0	0	0
2	1	1968	325	2	1	3	248
2	1	1968	325	2	1	2	162
2	1	1968	325	2	2	2	14
2	1	1968	325	2	2	3	16
2	1	1968	325	3	1	3	209
2	1	1968	325	3	1	2	47
2	1	1968	325	3	2	2	15
2	1	1968	325	3	2	3	1
2	1	1968	324	4	1	2	209
2	1	1968	324	4	1	3	32
2	1	1968	324	4	2	2	96
2	1	1968	324	4	2	3	537
2	1	1968	324	5	1	3	769
